Streamer_ID,Channel,Watch_time,Stream_time,Peak_viewers,Avg_viewers,Subscribers_End,Subscribers_Beg,Subscribers_gained,Viewers_Gained,Partnered,Mature,Language
1,xQcOW,103269363,3588,222720,27716,3246298,1511488,1734810,93036735,TRUE,FALSE,English
2,summit1g,101527955,3531,310998,25610,5310163,3939979,1370184,89705964,TRUE,FALSE,English
3,Gaules,94076515,8588,387315,10976,1767635,743856,1023779,102611607,TRUE,TRUE,Portuguese
4,ESL_CSGO,66171969,8629,300575,7714,3944850,3240864,703986,106546942,TRUE,FALSE,English
5,Tfue,61183335,2061,285644,29602,8938903,6870479,2068424,78998587,TRUE,FALSE,English
6,Asmongold,61146651,1371,263720,42414,1563438,1009237,554201,61715781,TRUE,FALSE,English
7,NICKMERCS,56011253,2271,115633,24181,4074287,2984463,1089824,46084211,TRUE,FALSE,English
8,Fextralife,55031125,2465,68795,18985,508816,83348,425468,670137548,TRUE,FALSE,English
9,loltyler1,48805949,2042,89387,22381,3530767,2579037,951730,51349926,TRUE,FALSE,English
10,Anomaly,47757165,1548,125408,12377,2607076,1074387,1532689,36350662,TRUE,FALSE,English
11,TimTheTatman,47240617,1813,142067,25664,5265659,4021318,1244341,50119786,TRUE,TRUE,English
12,LIRIK,47215505,2142,89170,21739,2666382,2467305,199077,50504526,TRUE,FALSE,English
13,Riot Games (riotgames),44577445,1347,639375,20960,4487489,3989811,497678,56855694,TRUE,FALSE,English
14,Rubius,43143877,971,240096,42948,5751354,1930822,3820532,58599449,TRUE,FALSE,Spanish
15,auronplay,40167043,676,170115,53986,3983847,17322,3966525,41514854,TRUE,FALSE,Spanish
16,MontanaBlack88,40141017,1129,181600,33514,2911316,1810223,1101093,37189666,TRUE,TRUE,German
17,sodapoppin,38824007,1922,107833,19659,2786162,2549993,236169,39334821,TRUE,TRUE,English
18,hanryang1125,36444375,3021,26999,12201,494445,402240,92205,34405975,TRUE,FALSE,Korean
19,alanzoka,34250065,1730,89153,19560,3445134,2120059,1325075,46515698,TRUE,FALSE,Portuguese
20,CohhCarnage,33820210,2921,43615,11343,1264808,1140566,124242,38718674,TRUE,FALSE,English
21,Lord_Kebun,32388317,2562,34830,12367,434200,296985,137215,19645967,TRUE,FALSE,English
22,LCK_Korea,31939431,789,140557,39848,619382,364294,255088,76225485,TRUE,FALSE,Korean
23,Castro_1021,30752618,1670,125133,17779,2411995,1861317,550678,22672980,TRUE,FALSE,English
24,DrDisrespect,30664708,1218,97540,23794,4450718,3625714,825004,43919410,TRUE,FALSE,English
25,TheRealKnossi,30194935,934,288459,24595,1260160,178121,1082039,25342894,TRUE,TRUE,German
26,TheGrefg,29290113,914,538444,28887,3795667,202586,3593081,47094362,TRUE,FALSE,Spanish
27,YoDa,28170619,2261,123796,12868,1792625,1409495,383130,38499423,TRUE,FALSE,Portuguese
28,Pestily,27662350,2305,168112,8481,616168,95826,520342,24029726,TRUE,FALSE,English
29,handongsuk,27027799,2130,44976,12869,385250,311648,73602,30610352,TRUE,FALSE,Korean
30,GamesDoneQuick,26985735,1458,234826,6734,1724316,1610847,113469,43345080,TRUE,FALSE,English
31,Solary,25776623,8109,24470,3187,493207,349638,143569,48799554,TRUE,FALSE,French
32,Gotaga,25641855,2361,81644,10750,2401580,1769462,632118,39591707,TRUE,FALSE,French
33,MOONMOON,25464716,2078,24892,11220,923448,827672,95776,13505898,TRUE,TRUE,English
34,DrLupo,25293534,2873,90696,8311,4115083,3547288,567795,47295386,TRUE,FALSE,English
35,OgamingLoL,24720132,8283,204491,3020,523758,407793,115965,71583995,TRUE,FALSE,French
36,Myth,24653576,2246,122552,9396,6726893,5305082,1421811,37384058,TRUE,FALSE,English
37,Evelone192,24579037,1384,106900,16422,1075101,248668,826433,47400543,TRUE,FALSE,Russian
38,nl_Kripp,24514962,2598,29316,9256,1379123,1282330,96793,20034033,TRUE,FALSE,English
39,LEC,24507199,761,305119,28830,973727,422382,551345,25924096,TRUE,FALSE,English
40,dota2mc_ru,24411386,1111,182869,19495,428284,271563,156721,38774178,TRUE,FALSE,Russian
41,Fresh,24402997,2461,57431,9728,3135667,1260480,1875187,25341820,TRUE,FALSE,English
42,LCS,24355169,519,214124,46459,1162746,636502,526244,28313058,TRUE,FALSE,English
43,ROSHTEIN,23928929,1983,45843,11717,381918,139549,242369,17836875,FALSE,TRUE,English
44,ibai,23548555,963,173238,22837,1894953,292865,1602088,44178173,TRUE,FALSE,Spanish
45,TFBlade,23238548,2355,35833,9117,1008040,557894,450146,35978104,TRUE,FALSE,English
46,Sardoche,22683747,2737,144066,8066,746865,376507,370358,32261961,TRUE,TRUE,French
47,LCK,22529309,619,171861,36030,934688,626835,307853,28970100,TRUE,FALSE,English
48,Yassuo,22456874,1732,70587,10531,1878416,1188459,689957,32362117,TRUE,FALSE,English
49,HasanAbi,22322416,3226,44649,6543,470123,129313,340810,14154952,TRUE,FALSE,English
50,BeyondTheSummit,22318292,8418,116547,2635,923689,808741,114948,42403593,TRUE,FALSE,English
51,Dota2RuHub,22177091,1536,105359,13189,777510,651289,126221,43831479,TRUE,FALSE,Russian
52,Bugha,22075322,1675,66311,12982,2942212,721447,2220765,49441744,TRUE,FALSE,English
53,RocketLeague,22040808,559,206681,36086,1409120,997019,412101,57189129,TRUE,FALSE,English
54,csgomc_ru,21816131,1299,364816,17020,492954,45353,447601,42952835,TRUE,FALSE,Russian
55,Clix,20944119,1496,81926,12996,2035180,347257,1687923,33286370,TRUE,FALSE,English
56,Gorgc,20878531,2352,56449,8683,391726,254783,136943,20882507,TRUE,TRUE,English
57,saddummy,20699956,3039,25482,6681,580794,483179,97615,30550147,TRUE,FALSE,Korean
58,NoWay4u_Sir,20576121,2332,24286,8479,383892,275060,108832,23037239,TRUE,FALSE,German
59,RiotGamesBrazil,20476886,640,255542,25918,1011924,686123,325801,33796768,TRUE,FALSE,Portuguese
60,JLTomy,20469499,2024,42079,10053,428073,150544,277529,13890640,TRUE,FALSE,French
61,SolaryFortnite,20389159,6362,46710,3180,1478270,1031079,447191,26737542,TRUE,FALSE,French
62,ONSCREEN,19952172,2248,88516,4134,918654,249306,669348,22820310,TRUE,FALSE,English
63,AdmiralBahroo,19810767,2354,21053,8152,778055,705601,72454,12853095,TRUE,FALSE,English
